Starting hyperparameter tuning for b10000-2.txt

---------------- Number_of_checks_greedy_H: 138 ------------------------

Total score: 298170, Elapsed time: 3.50 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 298401, Elapsed time: 3.55 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 298632, Elapsed time: 3.59 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 298860, Elapsed time: 3.53 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 299097, Elapsed time: 3.62 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 299343, Elapsed time: 3.62 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 299589, Elapsed time: 3.74 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 299835, Elapsed time: 3.70 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 300081, Elapsed time: 3.68 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 300327, Elapsed time: 3.67 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 300573, Elapsed time: 3.69 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 300819, Elapsed time: 3.67 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 301065, Elapsed time: 3.66 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 301311, Elapsed time: 3.67 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 301557, Elapsed time: 3.66 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 276 ------------------------

Total score: 302049, Elapsed time: 6.56 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 302550, Elapsed time: 6.62 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 303057, Elapsed time: 6.78 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 303564, Elapsed time: 6.87 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 304092, Elapsed time: 7.31 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 304647, Elapsed time: 7.22 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 305208, Elapsed time: 7.31 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 305769, Elapsed time: 7.44 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 306330, Elapsed time: 7.47 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 306891, Elapsed time: 7.34 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 307452, Elapsed time: 7.35 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 308013, Elapsed time: 7.41 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 308574, Elapsed time: 7.36 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 309135, Elapsed time: 7.34 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 309696, Elapsed time: 7.33 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 414 ------------------------

Total score: 310380, Elapsed time: 9.21 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 311073, Elapsed time: 9.22 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 311802, Elapsed time: 9.75 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 312546, Elapsed time: 10.07 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 313350, Elapsed time: 10.46 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 314196, Elapsed time: 10.70 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 315057, Elapsed time: 11.05 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 315918, Elapsed time: 11.01 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 316779, Elapsed time: 10.95 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 317640, Elapsed time: 11.17 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 318501, Elapsed time: 10.97 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 319362, Elapsed time: 10.97 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 320223, Elapsed time: 11.17 seconds
H_merge: 40000, V_merge: 0
