Starting hyperparameter tuning for b25000-4.txt

---------------- Number_of_checks_greedy_H: 138 ------------------------

Total score: 1137891, Elapsed time: 9.04 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1138737, Elapsed time: 9.09 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1139592, Elapsed time: 9.35 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1140444, Elapsed time: 9.22 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1141302, Elapsed time: 9.22 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1142166, Elapsed time: 9.39 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1143033, Elapsed time: 9.33 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1143903, Elapsed time: 9.33 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1144773, Elapsed time: 9.44 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1145646, Elapsed time: 9.49 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1146519, Elapsed time: 9.51 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1147392, Elapsed time: 9.36 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1148265, Elapsed time: 9.51 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1149138, Elapsed time: 9.50 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 1150011, Elapsed time: 9.40 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 276 ------------------------

Total score: 1151484, Elapsed time: 17.98 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1152963, Elapsed time: 17.71 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1154469, Elapsed time: 18.14 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1155984, Elapsed time: 18.04 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1157514, Elapsed time: 18.27 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1159068, Elapsed time: 18.65 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1160631, Elapsed time: 18.67 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1162221, Elapsed time: 18.60 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1163811, Elapsed time: 18.74 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1165410, Elapsed time: 18.99 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1167009, Elapsed time: 19.05 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1168608, Elapsed time: 19.01 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1170207, Elapsed time: 19.07 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1171806, Elapsed time: 19.19 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 1173405, Elapsed time: 18.94 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 414 ------------------------

Total score: 1175448, Elapsed time: 26.07 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1177497, Elapsed time: 26.36 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1179603, Elapsed time: 27.04 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1181718, Elapsed time: 26.79 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1183878, Elapsed time: 27.03 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1186089, Elapsed time: 27.64 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1188318, Elapsed time: 27.96 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1190604, Elapsed time: 28.04 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1192884, Elapsed time: 28.02 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1195188, Elapsed time: 28.36 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1197492, Elapsed time: 28.50 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 1199796, Elapsed time: 28.30 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

