Starting hyperparameter tuning for d01000-4.txt

---------------- Number_of_checks_greedy_H: 150 ------------------------

------------------------------------------- Number_of_checks_greedy_V: 130 -------------------------------------------

Total score: 27269799, Elapsed time: 0.23 seconds
H_merge: 500, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27273678, Elapsed time: 0.22 seconds
H_merge: 1000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27277557, Elapsed time: 0.22 seconds
H_merge: 5000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27281436, Elapsed time: 0.22 seconds
H_merge: 10000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27285315, Elapsed time: 0.23 seconds
H_merge: 20000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27289194, Elapsed time: 0.23 seconds
H_merge: 30000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27293073, Elapsed time: 0.22 seconds
H_merge: 40000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27296952, Elapsed time: 0.22 seconds
H_merge: 50000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27300831, Elapsed time: 0.22 seconds
H_merge: 500, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27304710, Elapsed time: 0.23 seconds
H_merge: 1000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27308589, Elapsed time: 0.22 seconds
H_merge: 5000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27312468, Elapsed time: 0.23 seconds
H_merge: 10000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27316347, Elapsed time: 0.22 seconds
H_merge: 20000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27320226, Elapsed time: 0.22 seconds
H_merge: 30000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27324105, Elapsed time: 0.22 seconds
H_merge: 40000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27327984, Elapsed time: 0.22 seconds
H_merge: 50000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27331863, Elapsed time: 0.22 seconds
H_merge: 500, V_merge: 5000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 27335742, Elapsed time: 0.22 seconds
