Starting hyperparameter tuning for b10000-3.txt

---------------- Number_of_checks_greedy_H: 138 ------------------------

Total score: 357087, Elapsed time: 3.49 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 357354, Elapsed time: 3.50 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 357630, Elapsed time: 3.60 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 357906, Elapsed time: 3.59 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 358188, Elapsed time: 3.65 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 358491, Elapsed time: 3.66 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 358794, Elapsed time: 3.74 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 359097, Elapsed time: 3.67 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 359400, Elapsed time: 3.70 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 359703, Elapsed time: 3.68 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 360006, Elapsed time: 3.68 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 360309, Elapsed time: 3.79 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 360612, Elapsed time: 3.72 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 360915, Elapsed time: 3.71 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 361218, Elapsed time: 3.69 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 276 ------------------------

Total score: 361743, Elapsed time: 6.54 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 362274, Elapsed time: 6.57 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 362829, Elapsed time: 6.92 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 363384, Elapsed time: 6.87 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 363978, Elapsed time: 7.17 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 364605, Elapsed time: 7.24 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 365235, Elapsed time: 7.34 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 365865, Elapsed time: 7.48 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 366495, Elapsed time: 7.44 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 367125, Elapsed time: 7.36 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 367755, Elapsed time: 7.36 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 368385, Elapsed time: 7.50 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 369015, Elapsed time: 7.41 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 369645, Elapsed time: 7.34 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 370275, Elapsed time: 7.37 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 414 ------------------------

Total score: 371028, Elapsed time: 9.28 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 371787, Elapsed time: 9.19 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 372582, Elapsed time: 9.70 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 373377, Elapsed time: 9.85 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 374244, Elapsed time: 10.53 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 375153, Elapsed time: 10.73 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 376074, Elapsed time: 11.12 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 376995, Elapsed time: 11.01 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 377916, Elapsed time: 10.98 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 378837, Elapsed time: 11.12 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 379758, Elapsed time: 11.03 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 380679, Elapsed time: 11.09 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 381600, Elapsed time: 11.02 seconds
H_merge: 40000, V_merge: 0
