Starting hyperparameter tuning for b10000-4.txt

---------------- Number_of_checks_greedy_H: 138 ------------------------

Total score: 419214, Elapsed time: 3.50 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 419475, Elapsed time: 3.49 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 419736, Elapsed time: 3.54 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 420000, Elapsed time: 3.62 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 420279, Elapsed time: 3.67 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 420558, Elapsed time: 3.69 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 420840, Elapsed time: 3.67 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 421122, Elapsed time: 3.70 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 421404, Elapsed time: 3.72 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 421686, Elapsed time: 3.67 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 421968, Elapsed time: 3.71 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 422250, Elapsed time: 3.70 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 422532, Elapsed time: 3.79 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 422814, Elapsed time: 3.68 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

Total score: 423096, Elapsed time: 3.70 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 138, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 276 ------------------------

Total score: 423576, Elapsed time: 6.51 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 424065, Elapsed time: 6.59 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 424581, Elapsed time: 6.84 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 425100, Elapsed time: 6.92 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 425652, Elapsed time: 7.12 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 426213, Elapsed time: 7.24 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 426786, Elapsed time: 7.34 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 427359, Elapsed time: 7.50 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 427932, Elapsed time: 7.36 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 428505, Elapsed time: 7.50 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 429078, Elapsed time: 7.38 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 429651, Elapsed time: 7.51 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 430224, Elapsed time: 7.38 seconds
H_merge: 40000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 430797, Elapsed time: 7.36 seconds
H_merge: 45000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

Total score: 431370, Elapsed time: 7.34 seconds
H_merge: 50000, V_merge: 0
Number_of_checks_greedy_H: 276, Number_of_checks_greedy_V: 0

---------------- Number_of_checks_greedy_H: 414 ------------------------

Total score: 432045, Elapsed time: 9.20 seconds
H_merge: 250, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 432750, Elapsed time: 9.46 seconds
H_merge: 500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 433491, Elapsed time: 9.66 seconds
H_merge: 1000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 434256, Elapsed time: 9.84 seconds
H_merge: 1500, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 435081, Elapsed time: 10.68 seconds
H_merge: 3000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 435936, Elapsed time: 10.73 seconds
H_merge: 5000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 436815, Elapsed time: 10.98 seconds
H_merge: 10000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 437694, Elapsed time: 11.08 seconds
H_merge: 15000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 438573, Elapsed time: 11.00 seconds
H_merge: 20000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 439452, Elapsed time: 10.99 seconds
H_merge: 25000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 440331, Elapsed time: 11.17 seconds
H_merge: 30000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 441210, Elapsed time: 10.96 seconds
H_merge: 35000, V_merge: 0
Number_of_checks_greedy_H: 414, Number_of_checks_greedy_V: 0

Total score: 442089, Elapsed time: 10.99 seconds
H_merge: 40000, V_merge: 0
