Starting hyperparameter tuning for d05000-0.txt

---------------- Number_of_checks_greedy_H: 150 ------------------------

------------------------------------------- Number_of_checks_greedy_V: 130 -------------------------------------------

Total score: 33514210, Elapsed time: 1.43 seconds
H_merge: 500, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33534326, Elapsed time: 1.47 seconds
H_merge: 1000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33554449, Elapsed time: 1.60 seconds
H_merge: 5000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33574572, Elapsed time: 1.59 seconds
H_merge: 10000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33594695, Elapsed time: 1.60 seconds
H_merge: 20000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33614818, Elapsed time: 1.60 seconds
H_merge: 30000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33634941, Elapsed time: 1.59 seconds
H_merge: 40000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33655064, Elapsed time: 1.60 seconds
H_merge: 50000, V_merge: 500
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33675194, Elapsed time: 1.42 seconds
H_merge: 500, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33695310, Elapsed time: 1.47 seconds
H_merge: 1000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33715433, Elapsed time: 1.60 seconds
H_merge: 5000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33735556, Elapsed time: 1.59 seconds
H_merge: 10000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33755679, Elapsed time: 1.59 seconds
H_merge: 20000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33775802, Elapsed time: 1.59 seconds
H_merge: 30000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33795925, Elapsed time: 1.61 seconds
H_merge: 40000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33816048, Elapsed time: 1.62 seconds
H_merge: 50000, V_merge: 1000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33836238, Elapsed time: 1.45 seconds
H_merge: 500, V_merge: 5000
Number_of_checks_greedy_H: 150, Number_of_checks_greedy_V: 130

Total score: 33856414, Elapsed time: 1.50 seconds
